datetime,arrivals,hour,day_of_week,is_weekend,temperature_2m,precipitation,relative_humidity_2m,cloud_cover,wind_speed_10m
2026-07-08 10:00:00,8,10,2,0,70.9,0.0,78,0,5.5
2026-07-08 11:00:00,13,11,2,0,73.2,0.0,74,0,5.6
2026-07-08 12:00:00,14,12,2,0,75.4,0.0,70,0,4.2
2026-07-08 13:00:00,11,13,2,0,77.1,0.0,67,0,3.5
2026-07-08 14:00:00,8,14,2,0,80.1,0.0,55,0,4.1
2026-07-08 15:00:00,9,15,2,0,80.1,0.0,55,0,6.1
2026-07-08 16:00:00,11,16,2,0,80.0,0.0,56,0,7.7
2026-07-08 17:00:00,12,17,2,0,79.2,0.0,62,2,8.9
2026-07-08 18:00:00,12,18,2,0,77.8,0.0,69,2,9.5
2026-07-08 19:00:00,3,19,2,0,76.0,0.0,76,4,9.2
2026-07-09 10:00:00,3,10,3,0,76.8,0.004,79,89,13.1
2026-07-09 11:00:00,1,11,3,0,78.4,0.016,73,96,12.5
2026-07-09 12:00:00,0,12,3,0,76.6,0.024,85,81,13.0
2026-07-09 13:00:00,0,13,3,0,77.8,0.012,83,100,14.5
2026-07-10 10:00:00,2,10,4,0,76.0,0.0,80,76,10.8
2026-07-10 11:00:00,5,11,4,0,78.3,0.004,71,94,13.7
2026-07-10 12:00:00,2,12,4,0,79.3,0.0,69,99,11.7
2026-07-10 13:00:00,6,13,4,0,79.4,0.0,67,100,11.0
2026-07-10 14:00:00,2,14,4,0,80.1,0.0,66,98,9.6
2026-07-10 15:00:00,2,15,4,0,77.4,0.012,74,100,10.3
2026-07-10 16:00:00,2,16,4,0,77.2,0.0,80,100,8.8
2026-07-10 17:00:00,8,17,4,0,78.1,0.0,78,100,8.5
2026-07-10 18:00:00,3,18,4,0,78.1,0.0,77,79,8.6
2026-07-10 19:00:00,1,19,4,0,76.6,0.0,84,42,8.7
2026-07-11 10:00:00,3,10,5,1,72.6,0.008,88,66,9.9
2026-07-11 11:00:00,1,11,5,1,74.0,0.004,84,68,10.3
2026-07-11 12:00:00,0,12,5,1,75.1,0.004,78,100,9.3
2026-07-11 13:00:00,4,13,5,1,76.3,0.004,76,33,9.1
2026-07-11 14:00:00,3,14,5,1,75.7,0.067,78,40,11.0
2026-07-11 15:00:00,7,15,5,1,77.2,0.004,75,60,11.2
2026-07-11 16:00:00,4,16,5,1,76.9,0.004,73,48,12.1
2026-07-11 17:00:00,7,17,5,1,76.4,0.004,71,73,11.7
2026-07-11 18:00:00,3,18,5,1,75.4,0.0,73,59,11.2
2026-07-11 19:00:00,0,19,5,1,74.3,0.0,79,93,9.4
2026-07-12 10:00:00,11,10,6,1,73.0,0.0,73,1,2.8
2026-07-12 11:00:00,22,11,6,1,75.4,0.0,67,13,2.3
2026-07-12 12:00:00,20,12,6,1,76.8,0.008,62,41,2.7
2026-07-12 13:00:00,22,13,6,1,77.1,0.004,61,32,2.5
2026-07-12 14:00:00,13,14,6,1,78.4,0.004,57,35,3.1
2026-07-12 15:00:00,11,15,6,1,78.1,0.004,58,27,3.1
2026-07-12 16:00:00,12,16,6,1,77.5,0.0,58,24,4.9
2026-07-12 17:00:00,8,17,6,1,76.9,0.0,60,16,6.5
2026-07-12 18:00:00,3,18,6,1,76.1,0.004,64,13,8.4
2026-07-12 19:00:00,2,19,6,1,74.7,0.0,72,2,9.2
2026-07-13 10:00:00,3,10,0,0,74.3,0.0,64,39,9.7
2026-07-13 11:00:00,2,11,0,0,76.4,0.0,58,31,11.8
2026-07-13 12:00:00,11,12,0,0,77.5,0.0,56,7,13.0
2026-07-13 13:00:00,6,13,0,0,78.5,0.0,54,18,14.1
2026-07-13 14:00:00,5,14,0,0,78.9,0.004,54,30,13.3
2026-07-13 15:00:00,7,15,0,0,79.2,0.004,54,22,14.5
2026-07-13 16:00:00,10,16,0,0,79.4,0.0,55,5,14.4
2026-07-13 17:00:00,7,17,0,0,79.1,0.0,57,8,13.8
2026-07-13 18:00:00,7,18,0,0,78.2,0.0,61,13,13.6
2026-07-13 19:00:00,1,19,0,0,76.2,0.0,67,5,13.0
2026-07-14 10:00:00,5,10,1,0,78.1,0.0,69,38,11.4
2026-07-14 11:00:00,10,11,1,0,81.0,0.0,63,11,11.9
2026-07-14 12:00:00,13,12,1,0,83.4,0.0,61,48,12.7
2026-07-14 13:00:00,8,13,1,0,85.6,0.0,57,92,14.0
2026-07-14 14:00:00,6,14,1,0,85.4,0.0,58,89,14.8
2026-07-14 15:00:00,6,15,1,0,86.0,0.0,56,43,17.8
2026-07-14 16:00:00,14,16,1,0,86.2,0.0,55,42,19.4
2026-07-14 17:00:00,16,17,1,0,85.8,0.0,57,16,20.3
2026-07-14 18:00:00,8,18,1,0,84.4,0.0,62,0,19.3
2026-07-14 19:00:00,3,19,1,0,82.6,0.0,67,10,19.1
2026-07-15 10:00:00,11,10,2,0,83.7,0.0,66,8,17.1
2026-07-15 11:00:00,11,11,2,0,86.3,0.0,58,54,19.1
2026-07-15 12:00:00,10,12,2,0,88.3,0.0,53,62,18.2
2026-07-15 13:00:00,7,13,2,0,90.1,0.0,48,55,18.4
2026-07-15 14:00:00,8,14,2,0,90.1,0.0,49,27,20.3
2026-07-15 15:00:00,5,15,2,0,90.2,0.004,47,58,21.4
2026-07-15 16:00:00,7,16,2,0,88.5,0.004,52,95,20.4
2026-07-15 17:00:00,9,17,2,0,83.5,0.012,63,96,18.2
2026-07-15 18:00:00,5,18,2,0,82.0,0.004,66,34,15.8
